Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Ritsu Doan,16/06/1998,7.7,Arminia Bielefeld,F M,34,2792,5,5,2,2.22,1.45,5.03+0.03,5.03+0.03,3.68+1.68,7.39,2.23,0.16,0.16,0.12,0.28,0.28,0.24,0.07,1,0
Fabian Klos,02/12/1987,0.88,Arminia Bielefeld,F M,34,2750,5,4,2,1.77,1.05,7.10+2.10,5.59+1.59,4.55+2.55,12.63,3.94,0.23,0.18,0.15,0.38,0.33,0.41,0.13,4,0
Sergio Córdova,09/08/1997,1.32,Arminia Bielefeld,F M,23,1091,2,2,1,1.65,0.99,2.95+0.95,2.95+0.95,0.69-0.31,4.66,1.19,0.24,0.24,0.06,0.3,0.3,0.38,0.1,0,0
Andreas Voglsammer,09/01/1992,1.87,Arminia Bielefeld,F M,18,1010,2,2,2,2.85,1.07,3.83+1.83,3.83+1.83,2.21+0.21,5.66,0.57,0.34,0.34,0.2,0.54,0.54,0.5,0.05,1,0
Sven Schipplock,08/11/1988,0.44,Arminia Bielefeld,F,32,696,1,1,0,2.07,1.03,1.61+0.61,1.61+0.61,0.49+0.49,2.34,0.5,0.21,0.21,0.06,0.27,0.27,0.3,0.06,3,0
Amos Pieper,17/01/1998,7.7,Arminia Bielefeld,D,30,2686,1,1,1,0.5,0.23,1.47+0.47,1.47+0.47,0.42-0.58,3.46,3.41,0.05,0.05,0.01,0.06,0.06,0.12,0.11,6,0
Manuel Prietl,03/08/1991,1.98,Arminia Bielefeld,M,28,2519,1,1,1,0.64,0.39,0.73-0.27,0.73-0.27,1.69+0.69,5.02,3.62,0.03,0.03,0.06,0.09,0.09,0.18,0.13,3,0
Cebio Soukou,02/10/1992,0.77,Arminia Bielefeld,F M,14,455,1,1,0,1.78,0.79,0.42-0.58,0.42-0.58,0.24+0.24,0.62,0.09,0.08,0.08,0.05,0.13,0.13,0.12,0.02,2,0
Christian Gebauer,20/12/1993,0.88,Arminia Bielefeld,M,23,665,1,1,1,1.35,1.35,1.91+0.91,1.91+0.91,0.99-0.01,3.21,0.36,0.26,0.26,0.13,0.39,0.39,0.43,0.05,0,0
Jóan Símun Edmundsson,26/07/1991,0.55,Arminia Bielefeld,S,5,49,1,1,0,5.51,0,0.47-0.53,0.47-0.53,0,0.47,0,0.86,0.86,0,0.86,0.86,0.86,0,0,0
