Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Alex Berenguer,04/07/1995,16.5,Athletic Club,M,35,2306,8,8,4,1.87,1.48,6.04-1.96,6.04-1.96,3.69-0.31,12,5.32,0.24,0.24,0.14,0.38,0.38,0.47,0.21,4,0
Iñaki Williams,15/06/1994,27.5,Athletic Club,F M,38,2395,6,5,6,1.99,1.13,6.33+0.33,5.59+0.59,4.67-1.33,13.48,4.23,0.24,0.21,0.18,0.41,0.39,0.51,0.16,1,0
Raúl García,11/07/1986,2.75,Athletic Club,F M,34,1742,5,3,1,2.43,0.77,5.92+0.92,3.69+0.69,1.02+0.02,6.89,2.94,0.31,0.19,0.05,0.36,0.24,0.36,0.15,6,2
Muniain,19/12/1992,13.2,Athletic Club,M,28,1970,5,5,3,1.05,1.6,5.35+0.35,5.35+0.35,3.48+0.48,10.86,6.73,0.24,0.24,0.16,0.4,0.4,0.5,0.31,1,0
Asier Villalibre,30/09/1997,4.95,Athletic Club,F,35,1577,4,4,2,2.17,0.74,4.50+0.50,4.50+0.50,2.33+0.33,7.43,2.42,0.26,0.26,0.13,0.39,0.39,0.42,0.14,1,0
Unai López,30/10/1995,13.2,Athletic Club,M,26,1427,3,3,0,1.58,1.14,1.16-1.84,1.16-1.84,1.57+1.57,6.49,4.59,0.07,0.07,0.1,0.17,0.17,0.41,0.29,7,0
Ander Capa,08/02/1992,6.6,Athletic Club,D,28,2145,2,2,1,0.5,0.67,1.12-0.88,1.12-0.88,1.31+0.31,5.13,3.61,0.05,0.05,0.05,0.1,0.1,0.22,0.15,5,0
Oihan Sancet,25/04/2000,3.85,Athletic Club,F M,24,1031,2,2,2,1.57,1.05,2.89+0.89,2.89+0.89,1.22-0.78,4.85,0.78,0.25,0.25,0.11,0.36,0.36,0.42,0.07,2,0
Jon Morcillo,15/09/1998,5.5,Athletic Club,M,30,1362,2,2,2,1.59,1.52,0.99-1.01,0.99-1.01,2.70+0.70,3.71,2.14,0.07,0.07,0.18,0.24,0.24,0.24,0.14,3,0
Yuri,10/02/1990,13.2,Athletic Club,D,23,1684,1,1,3,0.86,0.91,0.70-0.30,0.70-0.30,1.83-1.17,8.22,6.38,0.04,0.04,0.1,0.14,0.14,0.44,0.34,3,0
De Marcos,14/04/1989,2.2,Athletic Club,D M,25,1525,1,1,2,0.35,0.77,1.42+0.42,1.42+0.42,1.88-0.12,7.71,5.35,0.08,0.08,0.11,0.19,0.19,0.45,0.32,2,0
Iñigo Martínez,17/05/1991,22,Athletic Club,D,28,2520,1,1,0,0.64,0.21,1.40+0.40,1.40+0.40,0.51+0.51,6.11,5.69,0.05,0.05,0.02,0.07,0.07,0.22,0.2,9,0
Yeray Álvarez,24/01/1995,22,Athletic Club,D,23,1947,1,1,0,0.46,0.28,0.46-0.54,0.46-0.54,0.40+0.40,4.23,4.05,0.02,0.02,0.02,0.04,0.04,0.2,0.19,6,0
Kenan Kodro,19/08/1993,1.1,Athletic Club,S,3,40,1,0,0,4.5,0,0.77-0.23,0.03+0.03,0,0.03,0,1.74,0.07,0,1.74,0.07,0.07,0,1,0
Unai Núñez,30/01/1997,22,Athletic Club,D,25,2108,1,1,1,0.51,0.26,2.12+1.12,2.12+1.12,0.58-0.42,5.05,4.58,0.09,0.09,0.02,0.12,0.12,0.22,0.2,6,0
Dani García,24/05/1990,3.3,Athletic Club,M,27,1919,0,0,1,0.28,0.38,0.38+0.38,0.38+0.38,0.66-0.34,5.29,4.56,0.02,0.02,0.03,0.05,0.05,0.25,0.21,8,0
Balenziaga,29/02/1988,1.32,Athletic Club,D,23,1690,0,0,1,0.16,0.37,0.09+0.09,0.09+0.09,0.61-0.39,3.92,3.75,0,0,0.03,0.04,0.04,0.21,0.2,0,0
Íñigo Lekue,04/05/1993,1.65,Athletic Club,D,18,619,0,0,0,0.29,0.87,0.06+0.06,0.06+0.06,0.30+0.30,2.23,1.96,0.01,0.01,0.04,0.05,0.05,0.32,0.28,1,0
Ibai Gómez,11/11/1989,1.32,Athletic Club,M,13,414,0,0,1,1.09,1.52,0.18+0.18,0.18+0.18,1.08+0.08,1.66,0.82,0.04,0.04,0.23,0.27,0.27,0.36,0.18,0,0
Mikel Vesga,08/04/1993,2.2,Athletic Club,M,30,1728,0,0,1,1.15,0.63,1.35+1.35,1.35+1.35,1.40+0.40,7.79,6.61,0.07,0.07,0.07,0.14,0.14,0.41,0.34,7,0
Unai Simón,11/06/1997,22,Athletic Club,GK,37,3330,0,0,0,0,0.03,0,0,0.01+0.01,2.03,2.02,0,0,0,0,0,0.05,0.05,1,0
Iñigo Córdoba,13/03/1997,2.2,Athletic Club,M,3,90,0,0,0,2,0,0.10+0.10,0.10+0.10,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0
Jokin Ezkieta,17/08/1996,0.33,Athletic Club,GK,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unai Vencedor,15/11/2000,5.5,Athletic Club,M,28,1694,0,0,0,0.48,0.37,0.43+0.43,0.43+0.43,0.21+0.21,4.09,3.82,0.02,0.02,0.01,0.03,0.03,0.22,0.2,6,0
Oier Zarraga,04/01/1999,0.55,Athletic Club,M,5,94,0,0,0,0.96,1.91,0.09+0.09,0.09+0.09,0.05+0.05,0.23,0.1,0.08,0.08,0.04,0.13,0.13,0.22,0.09,0,0
Iñigo Vicente,06/01/1998,1.1,Athletic Club,S,3,46,0,0,0,1.96,7.83,0.03+0.03,0.03+0.03,0.17+0.17,0.24,0.06,0.05,0.05,0.33,0.39,0.39,0.46,0.11,0,0
Nico Williams,12/07/2002,1.65,Athletic Club,S,2,52,0,0,0,1.73,0,0.03+0.03,0.03+0.03,0,0.03,0,0.06,0.06,0,0.06,0.06,0.06,0,0,0
Joselu,27/03/1990,8.8,Alaves,F,37,3044,11,9,3,2.78,0.89,12.15+1.15,9.18+0.18,3.79+0.79,10.71,1.15,0.36,0.27,0.11,0.47,0.38,0.32,0.03,1,0
Edgar Méndez,02/01/1990,2.42,Alaves,D F M,33,2123,5,5,1,1.48,0.76,4.71-0.29,4.71-0.29,1.29+0.29,6.58,0.78,0.2,0.2,0.05,0.25,0.25,0.28,0.03,10,1
Lucas Pérez,10/09/1988,3.3,Alaves,F,28,1775,4,1,4,1.62,2.64,6.13+2.13,3.16+2.16,3.98-0.02,6.13,1.71,0.31,0.16,0.2,0.51,0.36,0.31,0.09,1,0
Luis Rioja,16/10/1993,3.3,Alaves,D F M,35,2117,4,4,2,1.02,1.06,3.69-0.31,3.69-0.31,1.89-0.11,8.86,4.05,0.16,0.16,0.08,0.24,0.24,0.38,0.17,4,0
Pere Pons,20/02/1993,3.85,Alaves,F M,22,1168,2,2,0,0.69,0.69,0.47-1.53,0.47-1.53,1.14+1.14,2.46,1.09,0.04,0.04,0.09,0.12,0.12,0.19,0.08,0,0
Rodrigo Ely,03/11/1993,2.42,Alaves,D,8,469,1,1,0,0.77,0.58,0.41-0.59,0.41-0.59,0.49+0.49,0.34,0.11,0.08,0.08,0.09,0.17,0.17,0.06,0.02,1,0
Rubén Duarte,18/10/1995,4.4,Alaves,D,31,2554,1,1,1,0.49,1.06,1.33+0.33,1.33+0.33,2.72+1.72,5.93,3.72,0.05,0.05,0.1,0.14,0.14,0.21,0.13,3,1
Deyverson,08/05/1991,3.08,Alaves,F,27,869,1,1,3,1.45,1.04,1.33+0.33,1.33+0.33,1.82-1.18,3.97,1.07,0.14,0.14,0.19,0.33,0.33,0.41,0.11,4,0
John Guidetti,15/04/1992,1.32,Alaves,F,10,190,1,1,0,2.37,0.47,0.70-0.30,0.70-0.30,0.02+0.02,0.3,0.15,0.33,0.33,0.01,0.34,0.34,0.14,0.07,1,0
Tomás Pina,14/10/1987,1.32,Alaves,M,33,2614,1,1,1,0.31,0.24,0.73-0.27,0.73-0.27,0.91-0.09,4.77,4.13,0.03,0.03,0.03,0.06,0.06,0.16,0.14,12,0
Ximo Navarro,23/01/1990,1.98,Alaves,D,31,2387,1,1,1,0.49,0.3,0.37-0.63,0.37-0.63,0.55-0.45,3.27,2.56,0.01,0.01,0.02,0.03,0.03,0.12,0.1,6,0
Florian Lejeune,20/05/1991,4.95,Alaves,D,34,3018,1,1,1,0.69,0.21,2.40+1.40,2.40+1.40,0.87-0.13,3.15,2.92,0.07,0.07,0.03,0.1,0.1,0.09,0.09,10,0
Borja Sainz,01/02/2001,2.2,Alaves,M,21,407,1,1,0,1.55,0.66,0.88-0.12,0.88-0.12,0.60+0.60,1.8,0.79,0.2,0.2,0.13,0.33,0.33,0.4,0.17,1,0
Rodrigo Battaglia,12/07/1991,4.4,Alaves,M,32,2508,1,1,0,0.57,0.11,1.21+0.21,1.21+0.21,0.10+0.10,2.68,2.48,0.04,0.04,0,0.05,0.05,0.1,0.09,10,1
Jota,16/06/1991,1.98,Alaves,F M,23,1432,0,0,2,1.01,1.07,0.83+0.83,0.83+0.83,2.25+0.25,3.34,0.99,0.05,0.05,0.14,0.19,0.19,0.21,0.06,3,1
Burgui,29/10/1993,0.88,Alaves,S,1,20,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.06,0.06,0,0
Adrián Marín,09/01/1997,1.32,Alaves,M,5,89,0,0,0,1.01,1.01,0.11+0.11,0.11+0.11,0.05+0.05,0.2,0.05,0.11,0.11,0.05,0.16,0.16,0.21,0.05,0,0
Fernando Pacheco,18/05/1992,8.8,Alaves,GK,38,3348,0,0,0,0,0,0,0,0,1.2,1.2,0,0,0,0,0,0.03,0.03,1,0
Víctor Laguardia,05/11/1989,4.4,Alaves,D,32,2634,0,0,1,0.31,0.14,1.14+1.14,1.14+1.14,0.61-0.39,3.43,2.94,0.04,0.04,0.02,0.06,0.06,0.12,0.1,5,1
Manu García,02/01/1998,4.4,Alaves,M,25,1092,0,0,0,0.91,0.41,0.47+0.47,0.47+0.47,0.28+0.28,1.16,0.57,0.04,0.04,0.02,0.06,0.06,0.1,0.05,6,1
Alberto Rodríguez,10/09/1997,0.88,Alaves,D,12,851,0,0,0,0.32,0.21,0.14+0.14,0.14+0.14,0.14+0.14,0.14,0.14,0.01,0.01,0.02,0.03,0.03,0.01,0.01,2,1
Martín Aguirregabiria,10/05/1996,3.3,Alaves,D M,26,1547,0,0,1,0.12,0.7,0.13+0.13,0.13+0.13,0.59-0.41,2.77,2.34,0.01,0.01,0.03,0.04,0.04,0.16,0.14,1,0
