Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Alexandre Lacazette,28/05/1991,30.8,Arsenal,F M,31,1939,13,10,2,2.09,1.02,12.03-0.97,9.75-0.25,2.21+0.21,14.36,2.94,0.56,0.45,0.1,0.66,0.55,0.67,0.14,3,0
Pierre-Emerick Aubameyang,18/06/1989,27.5,Arsenal,F M,29,2333,10,8,3,2.2,0.85,10.45+0.45,8.93+0.93,2.43-0.57,15.11,3.96,0.4,0.34,0.09,0.5,0.44,0.58,0.15,2,0
Nicolas Pepe,29/05/1995,38.5,Arsenal,F M,29,1602,10,9,1,2.64,0.62,6.00-4.00,5.24-3.76,1.01+0.01,9.36,4.22,0.34,0.29,0.06,0.39,0.35,0.53,0.24,1,1
Bukayo Saka,05/09/2001,71.5,Arsenal,D F M,32,2577,5,5,3,2.13,1.33,7.17+2.17,7.17+2.17,4.51+1.51,18.29,9.18,0.25,0.25,0.16,0.41,0.41,0.64,0.32,1,0
Gabriel,19/12/1997,27.5,Arsenal,D,23,1994,2,2,0,0.72,0.09,1.56-0.44,1.56-0.44,0.06+0.06,5.76,5.75,0.07,0.07,0,0.07,0.07,0.26,0.26,2,1
Eddie Nketiah,30/05/1999,13.2,Arsenal,F,17,405,2,2,1,2.67,1.78,2.02+0.02,2.02+0.02,0.74-0.26,2.08,0.22,0.45,0.45,0.16,0.61,0.61,0.46,0.05,0,0
Emile Smith-Rowe,28/07/2000,19.8,Arsenal,M,20,1456,2,2,4,0.8,1.67,1.59-0.41,1.59-0.41,3.62-0.38,9.54,5.63,0.1,0.1,0.22,0.32,0.32,0.59,0.35,0,0
Gabriel Martinelli,18/06/2001,24.2,Arsenal,F M,14,581,2,2,1,3.1,1.39,3.25+1.25,3.25+1.25,1.75+0.75,6.16,1.76,0.5,0.5,0.27,0.77,0.77,0.95,0.27,0,0
Granit Xhaka,27/09/1992,24.2,Arsenal,D M,31,2537,1,1,2,0.74,0.6,0.78-0.22,0.78-0.22,1.46-0.54,13.9,12.85,0.03,0.03,0.05,0.08,0.08,0.49,0.46,7,1
Héctor Bellerín,19/03/1995,27.5,Arsenal,D,25,2098,1,1,2,0.64,0.9,0.86-0.14,0.86-0.14,2.17+0.17,8.06,6.27,0.04,0.04,0.09,0.13,0.13,0.35,0.27,8,0
