Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Angelo Fulgini,20/08/1996,13.2,Angers,F M,33,2756,7,6,3,2.06,1.89,5.08-1.92,4.32-1.68,4.77+1.77,12.62,6.7,0.17,0.14,0.16,0.32,0.3,0.41,0.22,4,0
Stéphane Bahoken,28/05/1992,7.15,Angers,F,30,1633,6,6,2,3.25,0.66,7.46+1.46,6.70+0.70,1.15-0.85,8.49,1.34,0.41,0.37,0.06,0.47,0.43,0.47,0.07,4,0
Lois Diony,20/12/1992,2.75,Angers,F,36,1759,5,4,1,1.48,0.87,4.40-0.60,3.64-0.36,1.91+0.91,7.04,1.78,0.23,0.19,0.1,0.32,0.28,0.36,0.09,2,0
Romain Thomas,12/06/1988,1.98,Angers,D,34,3030,4,4,0,0.42,0.06,2.44-1.56,2.44-1.56,0.13+0.13,2.74,2.66,0.07,0.07,0,0.08,0.08,0.08,0.08,3,1
Pereira Lage,30/11/1996,3.85,Angers,D F M,28,1475,4,4,1,1.71,0.55,1.98-2.02,1.98-2.02,0.59-0.41,3.96,2.45,0.12,0.12,0.04,0.16,0.16,0.24,0.15,5,0
Ismael Traoré,18/08/1986,1.1,Angers,D,34,2993,3,3,3,0.36,0.27,1.34-1.66,1.34-1.66,0.74-2.26,5.22,4.93,0.04,0.04,0.02,0.06,0.06,0.16,0.15,3,0
Thomas Mangani,29/04/1987,1.1,Angers,M,35,2725,3,0,3,0.79,1.42,3.09+0.09,0.81+0.81,2.82-0.18,8.39,6.75,0.1,0.03,0.09,0.2,0.12,0.28,0.22,3,0
Pierrick Capelle,15/04/1987,0.88,Angers,D M,35,2059,3,3,3,1.27,1.01,3.26+0.26,3.26+0.26,1.90-1.10,7.77,4.4,0.14,0.14,0.08,0.23,0.23,0.34,0.19,2,0
Sofiane Boufal,17/09/1993,5.5,Angers,M,14,743,1,1,0,1.7,0.36,2.16+1.16,2.16+1.16,0.15+0.15,2.35,0.33,0.26,0.26,0.02,0.28,0.28,0.28,0.04,3,0
Lassana Coulibaly,10/04/1996,2.2,Angers,M,29,1677,1,1,1,0.75,0.38,0.87-0.13,0.87-0.13,0.75-0.25,4.42,3.23,0.05,0.05,0.04,0.09,0.09,0.24,0.17,4,1
Jimmy Cabot,18/04/1994,2.2,Angers,M,22,923,1,1,1,0.98,0.98,0.85-0.15,0.85-0.15,1.16+0.16,4.03,2.15,0.08,0.08,0.11,0.2,0.2,0.39,0.21,1,0
Sada Thioub,01/06/1995,3.85,Angers,F M,27,1247,1,1,1,1.66,1.59,1.14+0.14,1.14+0.14,1.60+0.60,4.45,2.76,0.08,0.08,0.12,0.2,0.2,0.32,0.2,0,0
Paul Bernardoni,18/04/1997,11,Angers,GK,38,3420,0,0,0,0,0,0,0,0,2.09,2.09,0,0,0,0,0,0.05,0.05,1,0
Casimir Ninga,17/05/1993,1.43,Angers,S,1,19,0,0,0,0,0,0,0,0,0.54,0.54,0,0,0,0,0,2.55,2.55,0,0
Ibrahim Amadou,06/04/1993,5.5,Angers,M,24,1524,0,0,0,0.83,0.24,1.31+1.31,1.31+1.31,0.21+0.21,5.47,4.18,0.08,0.08,0.01,0.09,0.09,0.32,0.25,6,0
Vincent Manceau,10/07/1989,1.32,Angers,D,27,2304,0,0,0,0.23,0.47,0.18+0.18,0.18+0.18,0.90+0.90,6.74,5.85,0.01,0.01,0.04,0.04,0.04,0.26,0.23,4,0
Rachid Alioui,18/05/1992,2.75,Angers,S,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baptiste Santamaria,09/03/1995,16.5,Angers,M,3,270,0,0,0,1.33,1.33,0.06+0.06,0.06+0.06,0.18+0.18,0.25,0.11,0.02,0.02,0.06,0.08,0.08,0.08,0.04,1,0
Mateo Pavlovic,09/06/1990,1.1,Angers,D,14,1104,0,0,1,0.33,0.16,0.26+0.26,0.26+0.26,0.71-0.29,1.37,1.37,0.02,0.02,0.06,0.08,0.08,0.11,0.11,3,0
Abdoulaye Bamba,25/04/1990,1.32,Angers,D,16,1356,0,0,0,0.07,0.53,0.06+0.06,0.06+0.06,1.14+1.14,3.35,2.32,0,0,0.08,0.08,0.08,0.22,0.15,2,0
Wilfried Kanga,21/02/1998,0.44,Angers,F,2,138,0,0,0,0.65,0,0.29+0.29,0.29+0.29,0,0.29,0,0.19,0.19,0,0.19,0.19,0.19,0,0,0
Rayan Ait Nouri,06/06/2001,19.8,Angers,D,3,190,0,0,1,0.47,2.37,0.07+0.07,0.07+0.07,0.21-0.79,0.8,0.61,0.03,0.03,0.1,0.13,0.13,0.38,0.29,0,0
Antonin Bobichon,14/09/1995,2.75,Angers,F M,23,908,0,0,1,2.18,1.59,0.91+0.91,0.91+0.91,1.43+0.43,2.87,1.48,0.09,0.09,0.14,0.23,0.23,0.28,0.15,0,0
Farid El Melali,05/05/1997,1.76,Angers,M,17,394,0,0,0,2.74,0.46,1.22+1.22,1.22+1.22,0.12+0.12,1.96,0.64,0.28,0.28,0.03,0.31,0.31,0.45,0.15,1,0
Souleyman Doumbia,24/09/1996,2.75,Angers,D,27,2222,0,0,1,0.28,0.65,0.58+0.58,0.58+0.58,1.97+0.97,6.88,4.41,0.02,0.02,0.08,0.1,0.1,0.28,0.18,8,0
Zinédine Ould Khaled,14/01/2000,0.275,Angers,S,3,27,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0.11,0.11,1,0
Enzo Ebosse,11/03/1999,1.1,Angers,D,6,254,0,0,0,0,0.35,0,0,0.54+0.54,1.06,0.52,0,0,0.19,0.19,0.19,0.37,0.18,1,0
Waniss Taibi,07/03/2002,0.33,Angers,S,2,31,0,0,0,0,2.9,0,0,0.02+0.02,0.07,0.05,0,0,0.05,0.05,0.05,0.2,0.14,0,0
Mohamed Ali-Cho,19/01/2004,4.4,Angers,F,21,302,0,0,0,2.98,0.6,1.62+1.62,1.62+1.62,0.09+0.09,1.24,0.11,0.48,0.48,0.03,0.51,0.51,0.37,0.03,1,0
Noah Fatar,15/02/2002,0.33,Angers,S,2,16,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0.12,0.12,0,0
Yassin Fortuné,30/01/1999,0.22,Angers,S,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Ui-Jo,28/08/1992,5.5,Bordeaux,F M,36,2559,12,9,3,2.67,0.7,13.86+1.86,11.58+2.58,3.05+0.05,13.1,2.14,0.49,0.41,0.11,0.59,0.51,0.46,0.08,1,0
Remi Oudin,18/11/1996,7.7,Bordeaux,D F M,38,2452,4,4,4,1.98,1.47,4.06+0.06,4.06+0.06,5.60+1.60,9.12,2.96,0.15,0.15,0.21,0.35,0.35,0.33,0.11,2,0
Toma Basic,25/11/1996,9.9,Bordeaux,M,34,2614,4,4,1,1.55,0.86,4.14+0.14,4.14+0.14,1.68+0.68,7.07,4.51,0.14,0.14,0.06,0.2,0.2,0.24,0.16,7,0
Samuel Kalu,26/08/1997,7.7,Bordeaux,F M,20,980,4,4,1,2.3,0.92,1.76-2.24,1.76-2.24,0.53-0.47,3.74,2.02,0.16,0.16,0.05,0.21,0.21,0.34,0.19,3,0
Paul Baysse,18/05/1988,1.1,Bordeaux,D,31,2615,2,2,2,0.38,0.28,2.05+0.05,2.05+0.05,0.52-1.48,6.53,6.39,0.07,0.07,0.02,0.09,0.09,0.22,0.22,3,1
Hatem Ben Arfa,07/03/1987,3.3,Bordeaux,F M,24,1719,2,2,4,1.73,1.68,2.14+0.14,2.14+0.14,3.51-0.49,6.78,3.34,0.11,0.11,0.18,0.3,0.3,0.35,0.17,2,0
Josh Maja,27/12/1998,5.5,Bordeaux,F,17,814,2,2,0,2.1,0.88,2.45+0.45,2.45+0.45,0.34+0.34,2.56,1,0.27,0.27,0.04,0.31,0.31,0.28,0.11,2,0
Yacine Adli,29/07/2000,9.9,Bordeaux,M,35,2421,2,2,5,0.89,1.97,1.78-0.22,1.78-0.22,4.40-0.60,11,7.04,0.07,0.07,0.16,0.23,0.23,0.41,0.26,6,0
