Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Cristiano Ronaldo,05/02/1985,49.5,Juventus,F,33,2807,29,23,3,5.35,1.15,29.84+0.84,23.75+0.75,3.85+0.85,28.64,8.92,0.96,0.76,0.12,1.08,0.89,0.92,0.29,3,0
Álvaro Morata,23/10/1992,49.5,Juventus,F,32,2019,11,10,9,2.5,1.78,12.07+1.07,11.30+1.30,5.67-3.33,19.8,4.52,0.54,0.5,0.25,0.79,0.76,0.88,0.2,3,1
Federico Chiesa,25/10/1997,66,Juventus,D M,30,2261,8,8,8,2.39,1.79,7.54-0.46,7.54-0.46,8.30+0.30,20.23,6.92,0.3,0.3,0.33,0.63,0.63,0.81,0.28,3,1
Weston McKennie,28/08/1998,27.5,Juventus,M,34,1684,5,5,2,1.5,1.39,5.20+0.20,5.20+0.20,3.88+1.88,11.35,5.91,0.28,0.28,0.21,0.49,0.49,0.61,0.32,5,0
Paulo Dybala,15/09/1993,55,Juventus,F,20,1131,4,4,3,4.06,2.39,4.80+0.80,4.80+0.80,3.16+0.16,12.58,6.72,0.38,0.38,0.25,0.63,0.63,1,0.53,0,0
Adrien Rabiot,03/04/1995,33,Juventus,M,34,2310,4,4,2,1.29,0.39,2.82-1.18,2.82-1.18,1.77-0.23,13.16,9.67,0.11,0.11,0.07,0.18,0.18,0.51,0.38,5,1
Dejan Kulusevski,25/04/2000,44,Juventus,D F M,35,1917,4,4,3,1.6,2.44,3.33-0.67,3.33-0.67,6.33+3.33,16.38,8.57,0.16,0.16,0.3,0.45,0.45,0.77,0.4,7,0
Aaron Ramsey,26/12/1990,15.4,Juventus,M,22,1105,2,2,4,1.95,2.52,4.65+2.65,4.65+2.65,3.78-0.22,12.46,4.78,0.38,0.38,0.31,0.69,0.69,1.01,0.39,2,0
Juan Cuadrado,26/05/1988,17.6,Juventus,D M,30,2185,2,1,10,0.78,2.47,2.45+0.45,1.69+0.69,10,17.96,13.35,0.1,0.07,0.41,0.51,0.48,0.74,0.55,9,1
Leonardo Bonucci,01/05/1987,8.8,Juventus,D,26,2037,2,2,0,0.71,0.13,3.65+1.65,3.65+1.65,0.87+0.87,8.38,8.04,0.16,0.16,0.04,0.2,0.2,0.37,0.36,3,0
Alex Sandro,26/01/1991,22,Juventus,D,26,1857,2,2,1,0.63,0.87,1.78-0.22,1.78-0.22,2.10+1.10,13.93,11.55,0.09,0.09,0.1,0.19,0.19,0.67,0.56,2,0
Danilo,15/07/1991,22,Juventus,D M,34,2922,1,1,4,0.59,0.77,1.83+0.83,1.83+0.83,3.41-0.59,19.31,16.05,0.06,0.06,0.11,0.16,0.16,0.59,0.49,6,0
Arthur,12/08/1996,44,Juventus,M,22,1154,1,1,0,0.23,1.33,0.16-0.84,0.16-0.84,1.21+1.21,9.97,8.81,0.01,0.01,0.09,0.11,0.11,0.78,0.69,3,0
